DATE,FLTS,REG
2023-01-01,20119,EUR
2023-01-02,24228,EUR
2023-01-03,22769,EUR
2023-01-04,22717,EUR
2023-01-05,23326,EUR
2023-01-06,23933,EUR
2023-01-07,21453,EUR
2023-01-08,23253,EUR
2023-01-09,22977,EUR
2023-01-10,20813,EUR
2023-01-11,21115,EUR
2023-01-12,22198,EUR
2023-01-13,23602,EUR
2023-01-14,19639,EUR
2023-01-15,21794,EUR
2023-01-16,22286,EUR
2023-01-17,20146,EUR
2023-01-18,20722,EUR
2023-01-19,21601,EUR
2023-01-20,24114,EUR
2023-01-21,19559,EUR
2023-01-22,21666,EUR
2023-01-23,22258,EUR
2023-01-24,20194,EUR
2023-01-25,20645,EUR
2023-01-26,22108,EUR
2023-01-27,23416,EUR
2023-01-28,19576,EUR
2023-01-29,21797,EUR
2023-01-30,22471,EUR
2023-01-31,20000,EUR
2023-02-01,21222,EUR
2023-02-02,22428,EUR
2023-02-03,24210,EUR
2023-02-04,20080,EUR
2023-02-05,21916,EUR
2023-02-06,22924,EUR
2023-02-07,20890,EUR
2023-02-08,21902,EUR
2023-02-09,23586,EUR
2023-02-10,25848,EUR
2023-02-11,21382,EUR
2023-02-12,23339,EUR
2023-02-13,23996,EUR
2023-02-14,21976,EUR
2023-02-15,22761,EUR
2023-02-16,23876,EUR
2023-02-17,23661,EUR
2023-02-18,22479,EUR
2023-02-19,23938,EUR
2023-02-20,24201,EUR
2023-02-21,22291,EUR
2023-02-22,23167,EUR
2023-02-23,24141,EUR
2023-02-24,25608,EUR
2023-02-25,21869,EUR
2023-02-26,23786,EUR
2023-02-27,24213,EUR
2023-02-28,22482,EUR
2023-03-01,23637,EUR
2023-03-02,24499,EUR
2023-03-03,25870,EUR
2023-03-04,21774,EUR
2023-03-05,23733,EUR
2023-03-06,24325,EUR
2023-03-07,21392,EUR
2023-03-08,22186,EUR
2023-03-09,23793,EUR
2023-03-10,24545,EUR
2023-03-11,21340,EUR
2023-03-12,23788,EUR
2023-03-13,24170,EUR
2023-03-14,22798,EUR
2023-03-15,23692,EUR
2023-03-16,24746,EUR
2023-03-17,26027,EUR
2023-03-18,21899,EUR
2023-03-19,24148,EUR
2023-03-20,25148,EUR
2023-03-21,23167,EUR
2023-03-22,23771,EUR
2023-03-23,24499,EUR
2023-03-24,25577,EUR
2023-03-25,21156,EUR
2023-03-26,24035,EUR
2023-03-27,23812,EUR
2023-03-28,25350,EUR
2023-03-29,26317,EUR
2023-03-30,27216,EUR
2023-03-31,6,EUR
2023-04-01,24250,EUR
2023-04-02,25318,EUR
2023-04-03,27209,EUR
2023-04-04,26422,EUR
2023-04-05,27331,EUR
2023-04-06,27337,EUR
2023-04-07,26492,EUR
2023-04-08,23925,EUR
2023-04-09,25173,EUR
2023-04-10,26564,EUR
2023-04-11,26853,EUR
2023-04-12,26891,EUR
2023-04-13,27979,EUR
2023-04-14,28929,EUR
2023-04-15,25104,EUR
2023-04-16,26656,EUR
2023-04-17,28207,EUR
2023-04-18,27765,EUR
2023-04-19,28363,EUR
2023-04-20,28981,EUR
2023-04-21,29187,EUR
2023-04-22,25574,EUR
2023-04-23,27682,EUR
2023-04-24,28558,EUR
2023-04-25,27787,EUR
2023-04-26,28659,EUR
2023-04-27,29913,EUR
2023-04-28,30528,EUR
2023-04-29,25953,EUR
2023-04-30,27222,EUR
2023-05-01,26861,EUR
2023-05-02,28302,EUR
2023-05-03,28973,EUR
2023-05-04,30217,EUR
2023-05-05,30310,EUR
2023-05-06,26319,EUR
2023-05-07,28180,EUR
2023-05-08,29339,EUR
2023-05-09,28879,EUR
2023-05-10,29312,EUR
2023-05-11,30280,EUR
2023-05-12,30877,EUR
2023-05-13,26851,EUR
2023-05-14,28582,EUR
2023-05-15,29839,EUR
2023-05-16,29009,EUR
2023-05-17,29590,EUR
2023-05-18,29242,EUR
2023-05-19,28745,EUR
2023-05-20,26840,EUR
2023-05-21,29664,EUR
2023-05-22,30338,EUR
2023-05-23,29622,EUR
2023-05-24,30371,EUR
2023-05-25,31299,EUR
2023-05-26,32114,EUR
2023-05-27,28216,EUR
2023-05-28,28848,EUR
2023-05-29,30405,EUR
2023-05-30,30411,EUR
2023-05-31,30953,EUR
2023-06-01,32246,EUR
2023-06-02,32238,EUR
2023-06-03,28731,EUR
2023-06-04,30348,EUR
2023-06-05,31634,EUR
2023-06-06,29877,EUR
2023-06-07,31934,EUR
2023-06-08,32217,EUR
2023-06-09,32743,EUR
2023-06-10,29252,EUR
2023-06-11,31492,EUR
2023-06-12,32088,EUR
2023-06-13,31541,EUR
2023-06-14,32214,EUR
2023-06-15,33580,EUR
2023-06-16,33915,EUR
2023-06-17,29674,EUR
2023-06-18,31195,EUR
2023-06-19,32930,EUR
2023-06-20,31586,EUR
2023-06-21,32842,EUR
2023-06-22,33199,EUR
2023-06-23,33652,EUR
2023-06-24,30148,EUR
2023-06-25,32123,EUR
2023-06-26,33431,EUR
2023-06-27,32864,EUR
2023-06-28,33068,EUR
2023-06-29,33636,EUR
2023-06-30,10,EUR
2023-07-01,31162,EUR
2023-07-02,32750,EUR
2023-07-03,33601,EUR
2023-07-04,32623,EUR
2023-07-05,32868,EUR
2023-07-06,34174,EUR
2023-07-07,34618,EUR
2023-07-08,31002,EUR
2023-07-09,32443,EUR
2023-07-10,33635,EUR
2023-07-11,32567,EUR
2023-07-12,33247,EUR
2023-07-13,33921,EUR
2023-07-14,34002,EUR
2023-07-15,30199,EUR
2023-07-16,32656,EUR
2023-07-17,33476,EUR
2023-07-18,32791,EUR
2023-07-19,33109,EUR
2023-07-20,34027,EUR
2023-07-21,33923,EUR
2023-07-22,31114,EUR
2023-07-23,32455,EUR
2023-07-24,32904,EUR
2023-07-25,32328,EUR
2023-07-26,33040,EUR
2023-07-27,33643,EUR
2023-07-28,33971,EUR
2023-07-29,31020,EUR
2023-07-30,32480,EUR
2023-07-31,33177,EUR
2023-08-01,32498,EUR
2023-08-02,32647,EUR
2023-08-03,33197,EUR
2023-08-04,33605,EUR
2023-08-05,31166,EUR
2023-08-06,32157,EUR
2023-08-07,33042,EUR
2023-08-08,32009,EUR
2023-08-09,32689,EUR
2023-08-10,33333,EUR
2023-08-11,33766,EUR
2023-08-12,31114,EUR
2023-08-13,32249,EUR
2023-08-14,32246,EUR
2023-08-15,31588,EUR
2023-08-16,32299,EUR
2023-08-17,32959,EUR
2023-08-18,33521,EUR
2023-08-19,30908,EUR
2023-08-20,32661,EUR
2023-08-21,33278,EUR
2023-08-22,32653,EUR
2023-08-23,33182,EUR
2023-08-24,33424,EUR
2023-08-25,33630,EUR
2023-08-26,30596,EUR
2023-08-27,31946,EUR
2023-08-28,31288,EUR
2023-08-29,33141,EUR
2023-08-30,33619,EUR
2023-08-31,34168,EUR
2023-09-01,34244,EUR
2023-09-02,30579,EUR
2023-09-03,32594,EUR
2023-09-04,33275,EUR
2023-09-05,32364,EUR
2023-09-06,32813,EUR
2023-09-07,33789,EUR
2023-09-08,33453,EUR
2023-09-09,30062,EUR
2023-09-10,32211,EUR
2023-09-11,33032,EUR
2023-09-12,32218,EUR
2023-09-13,32783,EUR
2023-09-14,33633,EUR
2023-09-15,33839,EUR
2023-09-16,29484,EUR
2023-09-17,31668,EUR
2023-09-18,32487,EUR
2023-09-19,31867,EUR
2023-09-20,32602,EUR
2023-09-21,33153,EUR
2023-09-22,33542,EUR
2023-09-23,29190,EUR
2023-09-24,31093,EUR
2023-09-25,32081,EUR
2023-09-26,31975,EUR
2023-09-27,32410,EUR
2023-09-28,33232,EUR
2023-09-29,33262,EUR
2023-09-30,7,EUR
2023-10-01,31027,EUR
2023-10-02,31746,EUR
2023-10-03,30819,EUR
2023-10-04,31403,EUR
2023-10-05,32247,EUR
2023-10-06,32710,EUR
2023-10-07,28456,EUR
2023-10-08,30337,EUR
2023-10-09,31128,EUR
2023-10-10,30196,EUR
2023-10-11,30582,EUR
2023-10-12,31575,EUR
2023-10-13,31211,EUR
2023-10-14,27833,EUR
2023-10-15,29867,EUR
2023-10-16,31087,EUR
2023-10-17,29643,EUR
2023-10-18,30001,EUR
2023-10-19,30523,EUR
2023-10-20,30469,EUR
2023-10-21,27387,EUR
2023-10-22,29280,EUR
2023-10-23,29932,EUR
2023-10-24,29232,EUR
2023-10-25,29849,EUR
2023-10-26,30471,EUR
2023-10-27,31225,EUR
2023-10-28,27175,EUR
2023-10-29,27335,EUR
2023-10-30,27620,EUR
2023-10-31,25999,EUR
2023-11-01,24971,EUR
2023-11-02,25255,EUR
2023-11-03,27874,EUR
2023-11-04,23584,EUR
2023-11-05,26119,EUR
2023-11-06,27068,EUR
2023-11-07,24084,EUR
2023-11-08,24723,EUR
2023-11-09,25561,EUR
2023-11-10,27073,EUR
2023-11-11,21809,EUR
2023-11-12,24734,EUR
2023-11-13,25709,EUR
2023-11-14,23426,EUR
2023-11-15,24195,EUR
2023-11-16,25400,EUR
2023-11-17,27082,EUR
2023-11-18,21534,EUR
2023-11-19,24220,EUR
2023-11-20,25416,EUR
2023-11-21,23033,EUR
2023-11-22,23652,EUR
2023-11-23,24891,EUR
2023-11-24,25927,EUR
2023-11-25,21379,EUR
2023-11-26,24338,EUR
2023-11-27,25499,EUR
2023-11-28,22694,EUR
2023-11-29,23746,EUR
2023-11-30,24721,EUR
2023-12-01,26133,EUR
2023-12-02,20250,EUR
2023-12-03,23638,EUR
2023-12-04,24793,EUR
2023-12-05,22680,EUR
2023-12-06,23486,EUR
2023-12-07,24538,EUR
2023-12-08,25906,EUR
2023-12-09,21508,EUR
2023-12-10,24686,EUR
2023-12-11,25748,EUR
2023-12-12,23492,EUR
2023-12-13,24244,EUR
2023-12-14,25519,EUR
2023-12-15,27811,EUR
2023-12-16,23159,EUR
2023-12-17,24938,EUR
2023-12-18,26223,EUR
2023-12-19,25376,EUR
2023-12-20,26157,EUR
2023-12-21,26037,EUR
2023-12-22,27441,EUR
2023-12-23,24217,EUR
2023-12-24,19839,EUR
2023-12-25,15304,EUR
2023-12-26,22078,EUR
2023-12-27,24538,EUR
2023-12-28,25285,EUR
2023-12-29,26247,EUR
2023-12-30,23352,EUR
2023-12-31,8,EUR
