ICAO,YEAR,TOT_FLTS_YEAR
SBBR,2019,152522
SBBR,2020,89383
SBBR,2021,112876
SBBR,2022,135635
SBBR,2023,148772
SBBR,2024,147957
SBCF,2019,101841
SBCF,2020,46432
SBCF,2021,66639
SBCF,2022,91217
SBCF,2023,98956
SBCF,2024,114181
SBCT,2019,66910
SBCT,2020,29408
SBCT,2021,34916
SBCT,2022,56062
SBCT,2023,60566
SBCT,2024,60809
SBGL,2019,106287
SBGL,2020,42621
SBGL,2021,40097
SBGL,2022,51099
SBGL,2023,63369
SBGL,2024,109600
SBGR,2019,294308
SBGR,2020,158271
SBGR,2021,190711
SBGR,2022,245191
SBGR,2023,276804
SBGR,2024,289944
SBKP,2019,114935
SBKP,2020,73887
SBKP,2021,105517
SBKP,2022,128566
SBKP,2023,126107
SBKP,2024,122286
SBPA,2019,77624
SBPA,2020,37923
SBPA,2021,49272
SBPA,2022,66440
SBPA,2023,72934
SBPA,2024,32386
SBRJ,2019,97412
SBRJ,2020,56598
SBRJ,2021,74883
SBRJ,2022,111878
SBRJ,2023,123230
SBRJ,2024,73691
SBSP,2019,218356
SBSP,2020,98236
SBSP,2021,127204
SBSP,2022,197195
SBSP,2023,232367
SBSP,2024,234686
SBSV,2019,78890
SBSV,2020,50014
SBSV,2021,68278
SBSV,2022,76367
SBSV,2023,77651
SBSV,2024,80053
